Name,Year,Date,Copies1stWeek,CopiesTotal,Platform,Company,CERO,NoLI,NoFemale,NoFemaleLI,NoFemaleFI,NoLGBT,NoCDM,NoCDF,,Memo
アンジェリークSpecial2,1998,96/12/06,,,PS,コーエー,-,10,2,0,0,0,0,0,,森村蘭（黑龙神子 无END 类反派）
ファンタスティックフォーチュン,1998,98/11/27,,,PC,富士通,-,10,3,2,3,1,0,0,,
遙かなる時空の中で,2000,00/04/02,,54969,PS,コーエー,B,9,3,0,0,0,0,0,,平千歳（黑龙神子 无END 类反派）
アンジェリーク トロワ,2000,00/11/22,21368,21368,PS2,コーエー,-,9,1,0,0,0,0,0,,
遙かなる時空の中で4,2002,2/6/20,34591,110628,PS2,コナミ,B,12,4,0,3,0,0,0,,冬海笙子（有友情END）、天羽菜美（有友情END）
遙かなる時空の中で2,2002,2/2/28,27651,44545,PS2,コーエー,B,9,3,0,0,0,0,0,,
ファンタスティックフォーチュン2,2003,3/6/26,,,PC,富士通,-,16,3,0,3,0,0,0,,
アンジェリーク エトワール,2004,4/9/16,,28867,PS2,コーエー,B,19,1,0,0,0,0,0,,梶原朔（黑龙神子 己方 有友情END）
金色のコルダ,2004,4/3/18,,29152,PS2,コーエー,A,9,3,0,2,0,0,0,,夜久月子
マイネリーベ 優美なる記憶,2004,4/9/22,,18979,PS2,コナミ,-,6,1,0,0,0,0,0,,夜久月子
遙かなる時空の中で3,2004,4/12/22,22496,42831,PS2,コーエー,B,12,3,0,1,0,0,0,,
ときめきメモリアル Girl's Side 2nd Kiss,2006,6/8/03,,68566,PS2,コナミ,B,11,6,0,5,0,0,0,,夜久月子，星月琥春
緋色の欠片,2006,6/7/06,,,PC,アイディアファクトリー,B,6,6,0,0,0,0,0,,夜久月子
自律機動戦車イヅナ,2006,6/12/15,,,PC,TEA-CROWN　,A,6,2,0,0,0,0,0,,"主人公, サワ, ミネ, リカ"
月ノ光 太陽ノ影,2006,6/4/21,,,PC,Aromarie,Z,5,2,0,0,0,0,0,,"主人公, サワ, ミネ, リカ"
ネオ アンジェリーク,2006,"	06/03/06",,,PSP,コーエー,-,11,1,0,0,0,0,0,,聖双葉，秀真凛
アンジェリーク デュエット,2006,"	06/04/06",,,PS,コーエー,-,10,2,0,0,0,0,0,,夜久月子，土萌未莉，七海まゆみ，東月小百合，春名真琴
